station_id,device_network,organisation_name,on_street,location_type,post_code,latitude,longitude,Connector,Connector_Type,Connector_KW,Connector_Type_List,Connector_Type_Merged_KW,Charger_Category
7b854e1c9778aa8ff839837766cf71d3,Chargemaster (POLAR),Chargemaster (POLAR),False,Other,IV19 1NZ,57.805901,-4.04825,"Single Phase AC, Three Phase AC","3-pin Type G (BS1363), Type 2 Mennekes (IEC62196)","3.0, 22.0","['3-pin Type G (BS1363)', 'Type 2 Mennekes (IEC62196)']","['3-pin Type G (BS1363) 3.0', 'Type 2 Mennekes (IEC62196) 22.0']",Fast
92914b863caab3084c5cf0cb02e72b11,Chargemaster (POLAR),Chargemaster (POLAR),False,Other,G64 2PT,55.913921,-4.216193,"Single Phase AC, Three Phase AC","3-pin Type G (BS1363), Type 2 Mennekes (IEC62196)","3.0, 22.0","['3-pin Type G (BS1363)', 'Type 2 Mennekes (IEC62196)']","['3-pin Type G (BS1363) 3.0', 'Type 2 Mennekes (IEC62196) 22.0']",Fast
47c08ed70e9fcc801e6c907b02690c4c,Chargemaster (POLAR),Chargemaster (POLAR),False,Public car park,TD1 2AG,55.614983,-2.802469,"Single Phase AC, Three Phase AC","3-pin Type G (BS1363), Type 2 Mennekes (IEC62196)","3.0, 22.0","['3-pin Type G (BS1363)', 'Type 2 Mennekes (IEC62196)']","['3-pin Type G (BS1363) 3.0', 'Type 2 Mennekes (IEC62196) 22.0']",Fast
645c1e3446f288b5ebad0c5093d12250,Chargemaster (POLAR),Chargemaster (POLAR),False,Other,DD8 2AE,56.642799,-2.88867,"Single Phase AC, Three Phase AC","3-pin Type G (BS1363), Type 2 Mennekes (IEC62196)","3.0, 22.0","['3-pin Type G (BS1363)', 'Type 2 Mennekes (IEC62196)']","['3-pin Type G (BS1363) 3.0', 'Type 2 Mennekes (IEC62196) 22.0']",Fast
5150d1bb2d5a2b2b23b96786673ff854,Chargemaster (POLAR),Chargemaster (POLAR),False,Public car park,G64 2PT,55.913857,-4.216296,"Single Phase AC, Three Phase AC","3-pin Type G (BS1363), Type 2 Mennekes (IEC62196)","3.0, 22.0","['3-pin Type G (BS1363)', 'Type 2 Mennekes (IEC62196)']","['3-pin Type G (BS1363) 3.0', 'Type 2 Mennekes (IEC62196) 22.0']",Fast
421f51ad0b692460d1055a774c1b4e82,Chargemaster (POLAR),Chargemaster (POLAR),False,Other,EH48 3LP,55.886021,-3.69035,"Single Phase AC, Three Phase AC","3-pin Type G (BS1363), Type 2 Mennekes (IEC62196)","3.0, 22.0","['3-pin Type G (BS1363)', 'Type 2 Mennekes (IEC62196)']","['3-pin Type G (BS1363) 3.0', 'Type 2 Mennekes (IEC62196) 22.0']",Fast
b8bcc73cc36a6017e7574ba10a1f1cb8,Chargemaster (POLAR),Chargemaster (POLAR),False,Other,ML1 1YR,55.786812,-3.99018,"Single Phase AC, Three Phase AC","3-pin Type G (BS1363), Type 2 Mennekes (IEC62196)","3.0, 22.0","['3-pin Type G (BS1363)', 'Type 2 Mennekes (IEC62196)']","['3-pin Type G (BS1363) 3.0', 'Type 2 Mennekes (IEC62196) 22.0']",Fast
c70689651cb8ec48def7fc31ce1e813d,Chargemaster (POLAR),Chargemaster (POLAR),False,Park & Ride site,PH1 5AP,56.405994,-3.444124,"Single Phase AC, Three Phase AC","3-pin Type G (BS1363), Type 2 Mennekes (IEC62196)","3.0, 22.0","['3-pin Type G (BS1363)', 'Type 2 Mennekes (IEC62196)']","['3-pin Type G (BS1363) 3.0', 'Type 2 Mennekes (IEC62196) 22.0']",Fast
2124d983f5e0b86fb5a9e9fd765d63f1,Chargemaster (POLAR),Chargemaster (POLAR),False,Public car park,ML1 1YR,55.786888,-3.990322,"Single Phase AC, Three Phase AC","3-pin Type G (BS1363), Type 2 Mennekes (IEC62196)","3.0, 22.0","['3-pin Type G (BS1363)', 'Type 2 Mennekes (IEC62196)']","['3-pin Type G (BS1363) 3.0', 'Type 2 Mennekes (IEC62196) 22.0']",Fast
c6692c0ad9b24fa7a850967c7046b9a6,Chargemaster (POLAR),Chargemaster (POLAR),False,Other,TD1 2AG,55.615101,-2.8021,"Single Phase AC, Three Phase AC","3-pin Type G (BS1363), Type 2 Mennekes (IEC62196)","3.0, 22.0","['3-pin Type G (BS1363)', 'Type 2 Mennekes (IEC62196)']","['3-pin Type G (BS1363) 3.0', 'Type 2 Mennekes (IEC62196) 22.0']",Fast
3695d4080f70c7cb92a819fb44524314,Chargemaster (POLAR),Chargemaster (POLAR),False,Public car park,PH1 5AP,56.406055,-3.444006,"Single Phase AC, Three Phase AC","3-pin Type G (BS1363), Type 2 Mennekes (IEC62196)","3.0, 22.0","['3-pin Type G (BS1363)', 'Type 2 Mennekes (IEC62196)']","['3-pin Type G (BS1363) 3.0', 'Type 2 Mennekes (IEC62196) 22.0']",Fast
